strategy,timeframe,ETHUSDT_stars,SOLUSDT_stars,SPY_stars,ETHUSDT_win_rate,SOLUSDT_win_rate,SPY_win_rate,avg_stars,bot_ready,trade_type
Price-Performance-Index-Strategy_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Price-Performance-Index-Strategy_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Price-Performance-Index-Strategy_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
基于EMA均线和MACD指标的趋势跟踪策略EMA-Crossover-and-MACD-Signals-Trend-Following-Strategy,5m,2.0,2.0,2.0,20.92,22.3,22.22,2.0,NO,SCALP
基于EMA均线和MACD指标的趋势跟踪策略EMA-Crossover-and-MACD-Signals-Trend-Following-Strategy,30m,2.0,2.0,,26.42,27.45,,2.0,NO,INTRADAY
基于EMA均线和MACD指标的趋势跟踪策略EMA-Crossover-and-MACD-Signals-Trend-Following-Strategy,15m,2.0,2.0,2.0,26.16,25.65,24.32,2.0,NO,INTRADAY
基于EMA均线和MACD指标的BTC交易策略EMA-and-MACD-Based-BTC-Trading-Strategy,5m,2.0,2.0,2.0,20.92,22.3,22.22,2.0,NO,SCALP
基于EMA均线交叉的趋势策略Trend-Following-Strategy-Based-on-EMA-Crossover,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Promise_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
基于多EMA买入策略Multiple-EMA-Buy-Strategy,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
基于多EMA买入策略Multiple-EMA-Buy-Strategy,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
基于多EMA买入策略Multiple-EMA-Buy-Strategy,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
基于多EMA买入策略Multiple-EMA-Buy-Strategy,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
基于复合突破策略The-Compound-Breakout-Strategy,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
基于复合突破策略The-Compound-Breakout-Strategy,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
基于复合突破策略The-Compound-Breakout-Strategy,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
基于复合突破策略The-Compound-Breakout-Strategy,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Promise_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Promise_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Promise_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Promise_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Promise_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Profit-Maximizer-PMax,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版冰山委托-买入,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python版冰山委托-买入,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版MACD指标画图范例,5m,2.0,2.0,2.0,20.92,22.3,22.22,2.0,NO,SCALP
Python版MACD指标画图范例,30m,2.0,2.0,,26.42,27.45,,2.0,NO,INTRADAY
Python-API-测试,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Push-Binance-deal-order-to-WeChat实时推送币安成交到微信wss协议练习,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Push-Binance-deal-order-to-WeChat实时推送币安成交到微信wss协议练习,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Push-Binance-deal-order-to-WeChat实时推送币安成交到微信wss协议练习,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Push-Binance-deal-order-to-WeChat实时推送币安成交到微信wss协议练习,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Promise_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Promise_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
基于EMA均线交叉的趋势策略Trend-Following-Strategy-Based-on-EMA-Crossover,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python版多品种追涨杀跌策略教学,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版单平台均衡策略教学,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版单平台均衡策略教学,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python版单平台均衡策略教学,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python-机器学习之-SVM-预测买卖,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python-机器学习之-SVM-预测买卖,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python-机器学习之-SVM-预测买卖,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python-机器学习之-SVM-预测买卖,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python-KLineChart,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python-KLineChart,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python-KLineChart,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python-KLineChart,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python-API-测试,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版冰山委托-卖出,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版冰山委托-买入,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版冰山委托-买入,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
基于EMA均线交叉的移动止损策略EMA-Crossover-Strategy-with-Trailing-Stop-Loss,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
基于EMA均线交叉的移动止损策略EMA-Crossover-Strategy-with-Trailing-Stop-Loss,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
基于EMA均线交叉的短期量化交易策略Quantitative-Trading-Strategy-Based-on-EMA-Crossover,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
基于EMA均线交叉的短期量化交易策略Quantitative-Trading-Strategy-Based-on-EMA-Crossover,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
基于EMA均线交叉的短期量化交易策略Quantitative-Trading-Strategy-Based-on-EMA-Crossover,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
基于EMA均线交叉的短期量化交易策略Quantitative-Trading-Strategy-Based-on-EMA-Crossover,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
基于EMA回调的Pullback空头策略Emma-Pullback-Short-Strategy,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
基于EMA回调的Pullback空头策略Emma-Pullback-Short-Strategy,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
基于EMA回调的Pullback空头策略Emma-Pullback-Short-Strategy,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
基于EMA回调的Pullback空头策略Emma-Pullback-Short-Strategy,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版MACD指标画图范例,15m,2.0,2.0,2.0,26.16,25.65,24.32,2.0,NO,INTRADAY
Python版多图表范例,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python版多图表范例,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版多品种追涨杀跌策略教学,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版多品种追涨杀跌策略教学,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python版多品种追涨杀跌策略教学,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python版追涨杀跌策略教学,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版简单网格策略教学,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版简单网格策略教学,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python版简单网格策略教学,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python版简单网格策略教学,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版多图表范例,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版多图表范例,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
QFL震荡条件止损均线策略-QFL-Oscillation-Stop-Loss-Moving-Average-Strategy,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
QFL震荡条件止损均线策略-QFL-Oscillation-Stop-Loss-Moving-Average-Strategy,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
QFL震荡条件止损均线策略-QFL-Oscillation-Stop-Loss-Moving-Average-Strategy,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版单平台均衡策略教学,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版冰山委托-卖出,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版冰山委托-卖出,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python版冰山委托-卖出,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
基于EMA均线交叉的移动止损策略EMA-Crossover-Strategy-with-Trailing-Stop-Loss,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
基于EMA均线交叉的移动止损策略EMA-Crossover-Strategy-with-Trailing-Stop-Loss,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python简单测试策略,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python简单测试策略,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python简单测试策略,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版追涨杀跌策略教学币安USDT永续合约,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版追涨杀跌策略教学币安USDT永续合约,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python版追涨杀跌策略教学币安USDT永续合约,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Python版追涨杀跌策略教学币安USDT永续合约,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python版追涨杀跌策略教学,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Python版追涨杀跌策略教学,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Python版追涨杀跌策略教学,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell_1_2,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell_1_2,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Demark-Reversal-Points-CC_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Demark-Reversal-Points-CC_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Demark-Reversal-Points-CC_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Demark-Reversal-Points-CC,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Demark-Reversal-Points-CC,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Demark-Reversal-Points-CC,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Demark-Reversal-Points-CC,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Demark-Reversal-Points,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Demark-Reversal-Points,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Darvas-Box-Buy-Sell,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
QFL-QFL-Oscillation-Stop-Loss-Moving-Average-Strategy_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Python简单测试策略,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Darvas-Box-Buy-Sell,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Darvas-Box-Breakout-and-Risk-Management-Strategy-Darvas_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Darvas-Box-Breakout-and-Risk-Management-Strategy-Darvas_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Darvas-Box-Breakout-and-Risk-Management-Strategy-Darvas_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Darvas-Box-Breakout-and-Risk-Management-Strategy-Darvas_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
QFL震荡条件止损均线策略-QFL-Oscillation-Stop-Loss-Moving-Average-Strategy,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Quadratic-Fitting-Trading-Signals-Strategy_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Quadratic-Fitting-Trading-Signals-Strategy_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Quadratic-Fitting-Trading-Signals-Strategy_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
QFL-QFL-Oscillation-Stop-Loss-Moving-Average-Strategy_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
QFL-QFL-Oscillation-Stop-Loss-Moving-Average-Strategy_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
QFL-QFL-Oscillation-Stop-Loss-Moving-Average-Strategy_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell_1_2,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
DZ-Session-Breakout-Strategy-DZ交易时段突破策略,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ交易时段突破策略,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
DZ-Session-Breakout-Strategy-DZ_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell_1_2,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Darvas-Box-Buy-Sell_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Darvas-Box-Buy-Sell_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
QQE-MOD-SSL-Hybrid-Waddah-Attar-Explosion,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Quadratic-Fitting-Trading-Signals-Strategy_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Quadratic-Fitting-Trading-Signals-Strategy_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Quadratic-Fitting-Trading-Signals-Strategy_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Quadratic-Fitting-Trading-Signals-Strategy_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Quadratic-Fitting-Trading-Signals-Strategy_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
基于EMA和蜡烛图的动态价格跟踪趋势交易策略-EMA-and-Candlestick-Based-Dynamic-Price-Trend-Following-Strategy,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
基于EMA和蜡烛图的动态价格跟踪趋势交易策略-EMA-and-Candlestick-Based-Dynamic-Price-Trend-Following-Strategy,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
基于EMA和蜡烛图的动态价格跟踪趋势交易策略-EMA-and-Candlestick-Based-Dynamic-Price-Trend-Following-Strategy,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
基于EMA和蜡烛图的动态价格跟踪趋势交易策略-EMA-and-Candlestick-Based-Dynamic-Price-Trend-Following-Strategy,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ交易时段突破策略,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
DZ-Session-Breakout-Strategy-DZ交易时段突破策略,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
R-Breaker-交易策略,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
R-Breaker-_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
R-Breaker-_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
R-Breaker-_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
R-Breaker-_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Quintuple-Strong-Moving-Average-Strategy_1_1_1,5m,2.0,2.0,2.0,20.92,22.3,22.22,2.0,NO,SCALP
Quintuple-Strong-Moving-Average-Strategy_1_1_1,30m,2.0,2.0,,26.42,27.45,,2.0,NO,INTRADAY
R-Breaker_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
R-Breaker_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
R-Breaker_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Quintuple-Strong-Moving-Average-Strategy_1_1_1,15m,2.0,2.0,2.0,26.16,25.65,24.32,2.0,NO,INTRADAY
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression_1_2,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression_1_2,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression_1_2,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression_1_2,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
R-Breaker11-交易策略,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
R-Breaker11-交易策略,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
R-Breaker11-_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
R-Breaker11-_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
RAVI-FX-Fisher_1_2,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
RAVI-FX-Fisher_1_2,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
RAVI-FX-Fisher_1_2,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
RAVI-FX-Fisher_1_2,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
RAVI-FX-Fisher_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
RAVI-FX-Fisher_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
Quantitative-Trend-Trading-Strategy-Using-Polynomial-Regression,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
R-Breaker11-_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
R-Breaker11-_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
R-Breaker-交易策略,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
R-Breaker-交易策略,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
R-Breaker-交易策略,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
R-Breaker11_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
R-Breaker11_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
DZ-Session-Breakout-Strategy-DZ_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
DPO-EMA趋势交叉量化策略研究-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
DPO-EMA趋势交叉量化策略研究-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
DPO-EMA趋势交叉量化策略研究-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
DPO-EMA趋势交叉量化策略研究-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
DPO-EMA-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
DPO-EMA-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research_1_1_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
DPO-EMA-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research_1_1_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
DPO-EMA-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
R-Breaker11_1_1_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
R-Breaker11-交易策略,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
R-Breaker11-交易策略,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
DPO-EMA-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research_1,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
DPO-EMA-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research_1,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
DPO-EMA-DPO-EMA-Trend-Crossover-Quantitative-Strategy-Research_1,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
RAVI-FX-Fisher,30m,2.0,2.0,,30.59,31.94,,2.0,NO,INTRADAY
RAVI-FX-Fisher,1h,2.0,2.0,2.0,36.4,31.05,37.78,2.0,NO,INTRADAY
RAVI-FX-Fisher,15m,2.0,2.0,,26.0,29.45,,2.0,NO,INTRADAY
R-Breaker_1_1_1,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
README_1_2,5m,2.0,2.0,2.0,21.71,22.72,21.05,2.0,NO,SCALP
